<_ali , ID>
<int , KW>
<<> , <>>
<{ , }>
<const , KW>
<int , KW>
<struct , KW>
<break , KW>
<void , KW>
<enum , KW>
<sizeof , KW>
<typedef , KW>
<do , KW>
<return , KW>
<while , KW>
<public , KW>
<friend , KW>
<float , KW>
<a_ , ID>
<=:= , =:=>
<9 , Number>
< , :>
<bool , KW>
<[ , [>
<10 , Number>
<] , ]>
<char , KW>
<> , >>
<{ , }>
<} , {>
<test123 , ID>
<== , ==>
<test__test1 , ID>
<+ , +>
<_test123 , ID>
<- , ->
<loop , KW>
<< , <>
<> , >>
<7.5 , Number>
<: , :>
<a_ , ID>
<++ , ++>
<> , >>
<{ , }>
<agar , KW>
<< , <>
<=:= , =:=>
<2.2E+5 , Number>
< , >>
<== , ==>
<1.2E- , Number>
<> , >>
< , :>
<} , {>
<} , {>
